ID,Category,Question
158,Bands,Name 3 bands with one-word names.
159,Bands,Name 3 bands with brothers in them.
160,Bands,Name 3 bands that sound better loud.
162,Bands,Name 3 albums people argue about.
163,Bands,Name 3 songs that start a singalong.
164,Bands,Name 3 songs you hear at every BBQ.
167,Bands,Name 3 bands you'd see at a festival.
168,Bands,Name 3 things found on a band room floor.
169,Bands,Name 3 things musicians always lose.
170,Bands,Name 3 things every drummer owns.
171,Bands,Name 3 things every guitarist owns.
172,Bands,Name 3 things singers say to the crowd.
173,Bands,Name 3 things bass players get accused of.
174,Bands,Name 3 things that happen at soundcheck.
175,Bands,Name 3 things you hear before a gig starts.
176,Bands,Name 3 things people shout at pub bands.
177,Bands,Name 3 things that make a gig memorable.
178,Bands,Name 3 things that ruin a gig.
179,Bands,Name 3 things you'd find in a road case.
180,Bands,Name 3 things you'd find in a rehearsal room.
181,Bands,Name 3 things stuck to an old guitar case.
182,Bands,Name 3 things bands argue about.
183,Bands,Name 3 things bands forget to pack.
184,Bands,Name 3 things bands sell at the merch table.
186,Bands,Name 3 things that smell like a live venue.
187,Bands,Name 3 things you see in a green room.
189,Bands,Name 3 things roadies carry.
191,Bands,Name 3 things that make a guitar solo better.
192,Bands,Name 3 things that make a song a classic.
193,Bands,Name 3 songs people request too often.
194,Bands,Name 3 songs people dance to at weddings.
195,Bands,Name 3 songs people play at parties.
196,Bands,Name 3 songs people pretend not to like.
197,Bands,Name 3 songs everyone knows the chorus to.
199,Bands,Name 3 bands that made great driving music.
200,Bands,Name 3 bands that make people nostalgic.
201,General Knowledge,Name 3 things everyone should know about Australia.
202,General Knowledge,Name 3 Australian animals everyone recognises.
203,General Knowledge,Name 3 things you'd see at the beach.
204,General Knowledge,Name 3 things found in the bush.
205,General Knowledge,Name 3 things that live in the ocean.
206,General Knowledge,Name 3 things found in the sky.
207,General Knowledge,Name 3 things people learn at primary school.
208,General Knowledge,Name 3 things people forget from high school.
209,General Knowledge,Name 3 countries beginning with B.
210,General Knowledge,Name 3 countries you'd love to visit.
211,General Knowledge,Name 3 capital cities people actually know.
212,General Knowledge,Name 3 things found in a kitchen drawer.
213,General Knowledge,Name 3 things people keep in the laundry.
214,General Knowledge,Name 3 things found in a junk drawer.
215,General Knowledge,Name 3 things found in a supermarket aisle.
216,General Knowledge,Name 3 things people forget at the supermarket.
217,General Knowledge,Name 3 things that melt.
218,General Knowledge,Name 3 things that freeze.
219,General Knowledge,Name 3 things that float.
220,General Knowledge,Name 3 things that sink.
221,General Knowledge,Name 3 things that smell amazing.
222,General Knowledge,Name 3 things that smell terrible.
223,General Knowledge,Name 3 things that make noise at night.
224,General Knowledge,Name 3 things that wake people up.
225,General Knowledge,Name 3 things people lose around the house.
226,General Knowledge,Name 3 things found under a couch.
227,General Knowledge,Name 3 things people take camping.
228,General Knowledge,Name 3 things you see at a campsite.
229,General Knowledge,Name 3 things people pack for a holiday.
230,General Knowledge,Name 3 things people forget on holiday.
231,General Knowledge,Name 3 things found in a hotel room.
232,General Knowledge,Name 3 things people do at airports.
233,General Knowledge,Name 3 things you see on a plane.
234,General Knowledge,Name 3 things that make kids laugh.
235,General Knowledge,Name 3 things that make adults grumpy.
236,General Knowledge,Name 3 things that are harder than they look.
237,General Knowledge,Name 3 things people collect.
238,General Knowledge,Name 3 things people throw away too late.
239,General Knowledge,Name 3 things every toolbox should have.
240,General Knowledge,Name 3 things every kitchen should have.
241,General Knowledge,Name 3 things every bathroom has.
242,General Knowledge,Name 3 things every backyard has.
243,General Knowledge,Name 3 things people do on a Sunday.
244,General Knowledge,Name 3 things people do before work.
245,General Knowledge,Name 3 things people do after work.
246,General Knowledge,Name 3 things people say when tired.
247,General Knowledge,Name 3 things people say when hungry.
248,General Knowledge,Name 3 things people say when lost.
249,General Knowledge,Name 3 things that happen at weddings.
250,General Knowledge,Name 3 things people bring to BBQs.
251,Random,Name 3 excuses for being late.
252,Random,Name 3 things grandparents always say.
253,Random,Name 3 things people hide from visitors.
254,Random,Name 3 things found in everyone's junk drawer.
255,Random,Name 3 things people pretend to understand.
256,Random,Name 3 things that sound expensive.
257,Random,Name 3 things that are never where you left them.
258,Random,Name 3 things people say when they drop something.
259,Random,Name 3 things people do when no one is watching.
260,Random,Name 3 things that make dogs excited.
261,Random,Name 3 things that make cats angry.
262,Random,Name 3 things people whisper about.
263,Random,Name 3 things that look easy but aren't.
264,Random,Name 3 things people should not Google.
265,Random,Name 3 things that feel better than they should.
266,Random,Name 3 things people buy at Bunnings.
267,Random,Name 3 things people buy and never assemble.
268,Random,Name 3 things people keep in the garage for years.
269,Random,Name 3 things you find in a mystery drawer.
270,Random,Name 3 things people say when the bill arrives.
271,Random,Name 3 things that make people check their pockets.
272,Random,Name 3 things people forget until the last minute.
273,Random,Name 3 things you should never say at dinner.
274,Random,Name 3 things that start arguments at Christmas.
275,Random,Name 3 things found in a teenager's room.
276,Random,Name 3 things found in an old man's shed.
277,Random,Name 3 things found in a mum's handbag.
278,Random,Name 3 things found in a dad's wallet.
279,Random,Name 3 things people say to tradies.
280,Random,Name 3 things tradies say back.
281,Random,Name 3 things people overpack.
282,Random,Name 3 things people underpack.
283,Random,Name 3 things that make camping better.
284,Random,Name 3 things that make camping worse.
285,Random,Name 3 things people do at the beach.
286,Random,Name 3 things people lose at the beach.
287,Random,Name 3 things people say when it starts raining.
288,Random,Name 3 things people say during a heatwave.
289,Random,Name 3 things people say when the power goes out.
290,Random,Name 3 things that make a BBQ better.
291,Random,Name 3 things that ruin a BBQ.
292,Random,Name 3 things people burn on the BBQ.
293,Random,Name 3 things people always bring to a party.
294,Random,Name 3 things people never bring to a party.
295,Random,Name 3 things that happen at family gatherings.
296,Random,Name 3 things uncles say.
297,Random,Name 3 things aunties say.
298,Random,Name 3 things kids say in the car.
299,Random,Name 3 things people say to babies.
300,Random,Name 3 things people say to dogs.
